2014-12-19 00:08:35.883500,2014-12-19 00:08:47.123000
2014-12-19 00:14:09.301500,2014-12-19 00:14:21.941000
2014-12-19 00:15:58.774500,2014-12-19 00:16:10.513500
2014-12-19 00:17:29.248500,2014-12-19 00:17:41.207500
2014-12-19 00:20:20.497000,2014-12-19 00:20:40.756000
2014-12-19 00:25:59.915000,2014-12-19 00:26:12.014000
2014-12-19 00:27:37.868500,2014-12-19 00:27:50.247500
2014-12-19 00:28:54.103500,2014-12-19 00:29:08.162500
2014-12-19 00:30:03.239000,2014-12-19 00:30:17.858000
2014-12-19 00:30:56.295500,2014-12-19 00:31:12.394000
2014-12-19 00:35:07.279000,2014-12-19 00:35:27.817500
2014-12-19 00:44:43.581000,2014-12-19 00:44:58.860000
2014-12-19 00:47:02.212000,2014-12-19 00:47:22.110500
2014-12-19 00:48:18.927000,2014-12-19 00:48:34.046000
2014-12-19 00:52:51.609000,2014-12-19 00:53:06.208000
2014-12-19 00:53:29.646500,2014-12-19 00:53:45.365000
2014-12-19 00:54:16.143000,2014-12-19 00:54:35.462000
2014-12-19 00:55:01.320000,2014-12-19 00:55:16.019500
2014-12-19 01:05:43.458000,2014-12-19 01:05:54.437000
2014-12-19 01:10:32.679000,2014-12-19 01:10:44.398000
2014-12-19 01:11:15.916000,2014-12-19 01:11:27.635500
2014-12-19 01:12:43.590500,2014-12-19 01:12:54.950000
2014-12-19 01:13:53.766000,2014-12-19 01:14:10.105000
2014-12-19 01:19:59.662000,2014-12-19 01:20:12.341000
2014-12-19 01:28:34.568000,2014-12-19 01:28:47.447000
2014-12-19 01:30:29.580000,2014-12-19 01:30:38.040000
2014-12-19 01:36:20.737000,2014-12-19 01:36:32.096500
2014-12-19 01:42:35.592500,2014-12-19 01:42:48.272000
2014-12-19 01:43:37.768500,2014-12-19 01:43:53.547500
2014-12-19 01:44:29.865000,2014-12-19 01:44:41.904000
2014-12-19 01:46:18.958000,2014-12-19 01:46:36.357000
2014-12-19 01:54:30.305500,2014-12-19 01:54:41.285000
2014-12-19 01:55:27.482000,2014-12-19 01:55:39.221000
2014-12-19 01:57:53.832000,2014-12-19 01:58:05.271500
2014-12-19 02:13:45.989500,2014-12-19 02:13:59.049000
2014-12-19 02:14:41.146000,2014-12-19 02:14:52.725000
2014-12-19 02:19:47.546000,2014-12-19 02:19:58.765000
2014-12-19 02:30:28.923500,2014-12-19 02:30:48.682000
2014-12-19 02:31:04.101000,2014-12-19 02:31:12.401000
2014-12-19 02:33:46.330500,2014-12-19 02:33:58.730000
2014-12-19 02:37:08.237000,2014-12-19 02:37:25.056000
2014-12-19 02:39:25.168000,2014-12-19 02:39:37.107500
2014-12-19 02:40:39.863500,2014-12-19 02:40:52.602500
2014-12-19 02:41:18.821000,2014-12-19 02:41:30.940000
2014-12-19 02:45:40.783500,2014-12-19 02:45:54.183000
2014-12-19 02:53:41.192000,2014-12-19 02:53:54.751000
2014-12-19 03:03:24.974000,2014-12-19 03:03:36.973000
2014-12-19 03:04:45.088500,2014-12-19 03:04:55.867500
2014-12-19 03:14:34.889500,2014-12-19 03:14:47.829000
2014-12-19 03:18:40.993000,2014-12-19 03:18:53.812500
2014-12-19 03:27:15.079500,2014-12-19 03:27:27.599000
2014-12-19 03:34:34.831000,2014-12-19 03:34:54.509000
2014-12-19 03:39:22.552000,2014-12-19 03:39:36.571000
2014-12-19 04:04:38.852000,2014-12-19 04:04:56.451000
2014-12-19 04:09:44.112000,2014-12-19 04:09:59.111000
2014-12-19 04:14:29.093000,2014-12-19 04:14:46.992000
2014-12-19 04:16:31.865000,2014-12-19 04:16:43.044000
2014-12-19 04:20:13.030500,2014-12-19 04:20:24.470000
2014-12-19 04:24:40.273000,2014-12-19 04:24:54.072000
2014-12-19 04:27:24.342000,2014-12-19 04:27:36.821500
2014-12-19 04:35:58.268500,2014-12-19 04:36:11.327500
2014-12-19 04:40:41.290000,2014-12-19 04:41:04.188000
2014-12-19 04:44:53.053000,2014-12-19 04:45:05.632500
2014-12-19 04:50:40.490500,2014-12-19 04:50:52.030000
2014-12-19 04:54:00.837000,2014-12-19 04:54:26.575500
2014-12-19 04:56:23.648000,2014-12-19 04:56:35.087000
2014-12-19 04:57:07.745000,2014-12-19 04:57:20.524000
2014-12-19 05:01:06.989000,2014-12-19 05:01:21.708000
2014-12-19 05:10:23.192500,2014-12-19 05:10:38.031500
2014-12-19 05:15:21.953000,2014-12-19 05:15:38.752000
2014-12-19 05:22:57.203000,2014-12-19 05:23:12.442000
2014-12-19 05:26:02.811000,2014-12-19 05:26:19.750000
2014-12-19 05:34:46.296000,2014-12-19 05:35:02.195000
2014-12-19 05:47:03.828000,2014-12-19 05:47:15.447000
2014-12-19 05:48:42.861000,2014-12-19 05:48:53.660500
2014-12-19 05:51:19.471000,2014-12-19 05:51:44.829000
2014-12-19 05:54:23.279000,2014-12-19 05:54:34.478000
